algoritmo,tiempo,memoria
MedicionBuscarLinkedList,14451555300,937264
MedicionBuscarArrayList,9495813000,937274
MedicionBuscarTrie,9878800,10450611
MedicionBuscarHashMap,5531300,1328896
MedicionBuscarTreeMap,17549000,1328898
algoritmo,tiempo,memoria
MedicionBuscarLinkedList,30530102596,937264
MedicionBuscarArrayList,6069353328,937274
MedicionBuscarTrie,7326838,10450611
MedicionBuscarHashMap,4775065,1328896
MedicionBuscarTreeMap,19098202,1328898
algoritmo,tiempo,memoria
MedicionBuscarLinkedList,38251315212,937264
MedicionBuscarArrayList,7020629574,937274
MedicionBuscarTrie,10122787,10450611
MedicionBuscarHashMap,5185796,1328896
MedicionBuscarTreeMap,20089302,1328898
algoritmo,tiempo,memoria
MedicionBuscarLinkedList,24794402343,937264
MedicionBuscarArrayList,5632514854,937274
MedicionBuscarTrie,7075464,10450611
MedicionBuscarHashMap,4206004,1328896
MedicionBuscarTreeMap,18089111,1328898
MedicionPredecirLinkedList,7552508,98
MedicionPredecirTrie,4110904,339
MedicionPredecirHashMap,7079577,134
algoritmo,tiempo,memoria
MedicionBuscarLinkedList,47953120200,937264
MedicionBuscarArrayList,13081605000,937274
MedicionBuscarTrie,22550900,10450611
MedicionBuscarHashMap,9561300,1328896
MedicionBuscarTreeMap,46688200,1328898
MedicionPredecirLinkedList,17229300,98
MedicionPredecirTrie,8190100,339
MedicionPredecirHashMap,24160200,134
algoritmo,tiempo,memoria
MedicionBuscarLinkedList,46004082200,937264
MedicionBuscarArrayList,11469886000,937274
MedicionBuscarTrie,12822000,10450611
MedicionBuscarHashMap,8356900,1328896
MedicionBuscarTreeMap,34794300,1328898
MedicionPredecirLinkedList,11725500,98
MedicionPredecirTrie,6522200,339
MedicionPredecirHashMap,21652900,134
